tile_size,t_max,d_head,k_reuse,T,tiles,scores,cycles,scores_per_cycle,array_utilization,input_beats,output_beats,output_stalls,host_bytes,useful_bytes,flops,wire_flops_per_byte
16,16,64,0,1,1,1,394,0.0025380710659898475,0.0006345177664974619,129,1,1,1040,76,128,0.12307692307692308
16,16,64,0,4,1,16,428,0.037383177570093455,0.009345794392523364,132,8,7,1120,352,2048,1.8285714285714285
16,16,64,0,7,1,49,494,0.09919028340080972,0.02479757085020243,135,25,17,1280,700,6272,4.9
16,16,64,0,8,1,64,524,0.12213740458015267,0.030534351145038167,136,32,23,1344,832,8192,6.095238095238095
16,16,64,0,16,1,256,890,0.2876404494382023,0.07191011235955057,144,128,85,2176,2176,32768,15.058823529411764
16,512,64,0,64,16,4096,4576,0.8951048951048951,0.22377622377622378,1344,2048,0,27136,20992,524288,19.32075471698113
16,512,64,0,128,64,16384,17216,0.9516728624535316,0.2379182156133829,4736,8192,0,103424,74752,2097152,20.277227722772277
16,512,64,0,512,1024,262144,269120,0.9740784780023781,0.24351961950059453,68096,131072,0,1593344,1085440,33554432,21.05912596401028
4,16,4,0,1,1,1,18,0.05555555555555555,0.013888888888888888,3,1,3,32,16,8,0.25
4,16,4,0,4,1,16,49,0.32653061224489793,0.08163265306122448,6,8,6,112,112,128,1.1428571428571428
4,16,4,0,7,4,49,99,0.494949494949495,0.12373737373737374,13,25,13,304,280,392,1.2894736842105263
4,16,4,0,8,4,64,123,0.5203252032520326,0.13008130081300814,14,32,23,368,352,512,1.391304347826087
4,16,4,0,16,16,256,403,0.6352357320099256,0.1588089330024814,36,128,82,1312,1216,2048,1.5609756097560976
4,16,4,1,1,1,1,18,0.05555555555555555,0.013888888888888888,3,1,3,32,16,8,0.25
4,16,4,1,4,1,16,49,0.32653061224489793,0.08163265306122448,6,8,6,112,112,128,1.1428571428571428
4,16,4,1,7,4,49,100,0.49,0.1225,11,25,15,288,280,392,1.3611111111111112
4,16,4,1,8,4,64,124,0.5161290322580645,0.12903225806451613,12,32,22,352,352,512,1.4545454545454546
4,16,4,1,16,16,256,404,0.6336633663366337,0.15841584158415842,24,128,80,1216,1216,2048,1.6842105263157894
4,16,64,0,1,1,1,154,0.006493506493506494,0.025974025974025976,33,1,1,272,76,128,0.47058823529411764
4,16,64,0,4,1,16,188,0.0851063829787234,0.3404255319148936,36,8,7,352,352,2048,5.818181818181818
4,16,64,0,7,4,49,373,0.13136729222520108,0.5254691689008043,103,25,19,1024,700,6272,6.125
4,16,64,0,8,4,64,385,0.16623376623376623,0.6649350649350649,104,32,21,1088,832,8192,7.529411764705882
4,16,64,0,16,16,256,1169,0.21899059024807527,0.8759623609923011,336,128,80,3712,2176,32768,8.827586206896552
4,16,64,1,1,1,1,154,0.006493506493506494,0.025974025974025976,33,1,1,272,76,128,0.47058823529411764
4,16,64,1,4,1,16,188,0.0851063829787234,0.3404255319148936,36,8,7,352,352,2048,5.818181818181818
4,16,64,1,7,4,49,413,0.11864406779661017,0.4745762711864407,71,25,19,768,700,6272,8.166666666666666
4,16,64,1,8,4,64,425,0.15058823529411763,0.6023529411764705,72,32,21,832,832,8192,9.846153846153847
4,16,64,1,16,16,256,1289,0.19860356865787432,0.7944142746314973,144,128,80,2176,2176,32768,15.058823529411764
4,512,64,0,64,256,4096,16510,0.24809206541490006,0.9923682616596002,4416,2048,0,51712,20992,524288,10.138613861386139
4,512,64,0,128,1024,16384,65726,0.2492773027416852,0.9971092109667408,17024,8192,0,201728,74752,2097152,10.395939086294415
4,512,64,0,512,16384,262144,1049150,0.24986322260877852,0.9994528904351141,264704,131072,0,3166208,1085440,33554432,10.597671410090557
4,512,64,1,64,256,4096,16750,0.24453731343283583,0.9781492537313433,576,2048,0,20992,20992,524288,24.975609756097562
4,512,64,1,128,1024,16384,66222,0.24741022620881278,0.9896409048352511,1152,8192,0,74752,74752,2097152,28.054794520547944
4,512,64,1,512,16384,262144,1051182,0.24938022150303182,0.9975208860121273,4608,131072,0,1085440,1085440,33554432,30.91320754716981
8,16,64,0,1,1,1,234,0.004273504273504274,0.004273504273504274,65,1,1,528,76,128,0.24242424242424243
8,16,64,0,4,1,16,268,0.05970149253731343,0.05970149253731343,68,8,7,608,352,2048,3.3684210526315788
8,16,64,0,7,1,49,334,0.1467065868263473,0.1467065868263473,71,25,17,768,700,6272,8.166666666666666
8,16,64,0,8,1,64,364,0.17582417582417584,0.17582417582417584,72,32,23,832,832,8192,9.846153846153847
8,16,64,0,16,4,256,699,0.36623748211731044,0.36623748211731044,208,128,88,2688,2176,32768,12.19047619047619
8,512,64,0,64,64,4096,4704,0.8707482993197279,0.8707482993197279,2368,2048,0,35328,20992,524288,14.840579710144928
8,512,64,0,128,256,16384,18208,0.8998242530755711,0.8998242530755711,8832,8192,0,136192,74752,2097152,15.398496240601503
8,512,64,0,512,4096,262144,287392,0.9121478677207437,0.9121478677207437,133632,131072,0,2117632,1085440,33554432,15.845261121856867
