configuration,T,tile_size,D_HEAD,K_REUSE,scale_block_size,score_lanes,core_cycles,input_beats,output_beats,array_utilization,binding_stage,binding_cycles_per_tile
v3 4x4 T=64,64,4,64,0,32,1,16577,4480,2048,0.988357363,CALC,64
v3 4x4 T=128,128,4,64,0,32,1,65857,17152,8192,0.995125803,CALC,64
v3 4x4 T=512,512,4,64,0,32,1,1049665,265216,131072,0.998962526,CALC,64
v4 4x4 T=64,64,4,64,1,32,1,16817,640,2048,0.974252245,CALC,64
v4 4x4 T=128,128,4,64,1,32,1,66353,1280,8192,0.987687068,CALC,64
v4 4x4 T=512,512,4,64,1,32,1,1051697,5120,131072,0.997032415,CALC,64
v3 8x8 L1 T=64,64,8,64,0,32,1,4960,2432,2048,0.825806452,SCALING,73
v3 8x8 L1 T=128,128,8,64,0,32,1,19104,8960,8192,0.857621441,SCALING,73
v3 8x8 L1 T=512,512,8,64,0,32,1,300192,134144,131072,0.873254450,SCALING,73
v3 16x16 L1 T=64,64,16,64,0,32,1,4688,1408,2048,0.218430034,SCALING,265
v3 16x16 L1 T=128,128,16,64,0,32,1,17536,4864,8192,0.233576642,SCALING,265
v3 16x16 L1 T=512,512,16,64,0,32,1,272704,68608,131072,0.240319174,SCALING,265
v3 8x8 L2 T=512,512,8,64,0,32,2,263305,134144,131072,0.995590665,CALC,64
v3 8x8 L4 T=512,512,8,64,0,32,4,263289,134144,131072,0.995651167,CALC,64
v3 16x16 L2 T=512,512,16,64,0,32,2,141632,68608,131072,0.462720289,SCALING,137
v3 16x16 L4 T=512,512,16,64,0,32,4,132361,68608,131072,0.495130741,OUTPUT,128
